cz,Name,AllAmericanIndian,AllAll,AllAsian,AllWhite,AllHispanic,AllBlack,HighAmericanIndian,HighAll,HighAsian,HighWhite,HighHispanic,HighBlack,LowAmericanIndian,LowAll,LowAsian,LowWhite,LowHispanic,LowBlack,MediumAmericanIndian,MediumAll,MediumAsian,MediumWhite,MediumHispanic,MediumBlack
cz31005,"Perryton, TX",47787.0,33363,,35558,32995.0,,72022.0,41191,,41009,41669.0,,36533.0,28439,,29977,31308.0,,49578.0,34580,,35121,36327.0,
cz11800,"Mount Pleasant, MI",39566.0,28648,34351.0,29009,25530.0,21910.0,46105.0,34421,37835.0,34704,30734.0,21871.0,25540.0,20894,29130.0,21185,20990.0,21767.0,35203.0,27571,32825.0,27641,25844.0,21821.0
cz32602,"Graham, TX",37798.0,29275,,30776,25617.0,16973.0,42907.0,37476,,37889,31541.0,23211.0,34722.0,25232,,26375,25055.0,17014.0,38643.0,31212,,31807,28275.0,20213.0
cz21701,"Rochester, MN",36443.0,36338,35675.0,36983,28886.0,22785.0,36017.0,37949,39445.0,38281,32393.0,31222.0,18010.0,28713,31343.0,29569,24417.0,21087.0,26865.0,33208,34765.0,33666,28376.0,26358.0
cz7100,"Port St. Lucie, FL",34293.0,27998,38060.0,31646,27932.0,20994.0,38953.0,32932,40289.0,33953,33814.0,27895.0,31375.0,22504,34761.0,24987,25439.0,19872.0,35044.0,27652,37102.0,29259,29588.0,24046.0
cz31900,"Pearland, TX",33786.0,31978,39209.0,34581,30512.0,26855.0,37486.0,35864,43194.0,36411,35897.0,33033.0,24844.0,25796,33302.0,26975,27721.0,23936.0,31004.0,30730,37424.0,31442,31750.0,28653.0
cz11002,"Atmore, AL",32214.0,26021,41143.0,29373,26302.0,21881.0,36659.0,33711,44039.0,34687,38840.0,30346.0,30945.0,21814,41244.0,22662,21250.0,21545.0,33727.0,27686,42427.0,28398,29908.0,26122.0
cz32401,"Big Spring, TX",32178.0,30048,46930.0,33572,28864.0,22077.0,55331.0,37971,42782.0,38043,38580.0,30418.0,18010.0,26426,29876.0,27889,27999.0,21801.0,34640.0,32053,35251.0,32672,33175.0,26282.0
cz18900,"Williamsport, PA",31681.0,30408,38536.0,31102,27737.0,19703.0,39107.0,36462,37494.0,36823,32492.0,32571.0,24763.0,23407,28374.0,24181,21364.0,17896.0,31723.0,29811,32251.0,30172,26901.0,25529.0
cz33400,"Longview, TX",31506.0,27797,36338.0,30610,26403.0,22416.0,39883.0,34372,38045.0,35122,32960.0,31075.0,25038.0,22821,34762.0,24507,25128.0,21433.0,32223.0,28515,36163.0,29556,29012.0,26447.0
cz23400,"Bloomington, IL",31402.0,31855,46335.0,32745,27862.0,23702.0,39968.0,33842,44527.0,34278,30659.0,28040.0,18348.0,22863,38785.0,23731,24502.0,19917.0,28889.0,28278,41183.0,28760,27560.0,24144.0
cz29501,"Leavenworth, KS",31003.0,31178,39670.0,32287,26050.0,25193.0,38306.0,34876,40690.0,35488,27271.0,32407.0,26421.0,22196,34646.0,22743,24005.0,21236.0,32193.0,28445,37202.0,28813,25628.0,27042.0
cz36404,"Rock Springs, UT & WY",30333.0,33680,36965.0,34512,31091.0,26906.0,36219.0,35818,41014.0,36358,33968.0,34797.0,21783.0,26507,24480.0,27493,25988.0,15835.0,28864.0,31068,31456.0,31689,29938.0,25659.0
cz11304,"Washington DC, DC & MD & VA",30296.0,35475,43109.0,39600,34205.0,29988.0,32451.0,37453,45439.0,38141,37558.0,34712.0,24165.0,27236,39007.0,28092,31338.0,25500.0,28240.0,32220,41676.0,32824,34388.0,30259.0
cz31004,"Liberal, KS & OK",30275.0,29650,31195.0,33432,28955.0,23691.0,32139.0,35104,48299.0,35951,31991.0,26292.0,30330.0,25288,22535.0,28971,28246.0,22903.0,31218.0,30108,33022.0,32276,30100.0,24663.0
cz11301,"Fredericksburg, VA",30236.0,31666,36896.0,32866,32877.0,27909.0,31639.0,33814,38756.0,34113,35611.0,32916.0,25876.0,22975,33043.0,23168,26999.0,22643.0,28710.0,28320,35466.0,28390,31247.0,27975.0
cz31401,"Midland, TX",30223.0,32604,43356.0,35918,31115.0,25052.0,37316.0,38047,44326.0,38484,37447.0,36043.0,25663.0,28234,37793.0,29460,29970.0,24050.0,31340.0,33009,40515.0,33702,33637.0,30237.0
